Timestamp,Freezer1 *C,Freezer2 *C,Freezer3 *C
00:00,-80.22254220166997,-80.12504807887706,-83.68363587457985
00:05,-80.77188714999102,-80.28443518836842,-83.59860722676991
00:10,-80.39802364982359,-80.07601182220652,-83.96891047302879
00:15,-80.08669101896136,-80.00442275538825,-84.36013839765974
00:20,-80.215177093281,-80.00254801446039,-84.27511839088922
00:25,-80.46031071567782,-80.2860724430559,-84.14596973109892
00:30,-80.48903767006773,-80.12521248351636,-83.92847643223031
00:35,-79.87900049435618,-80.02006915651802,-83.79617874058026
00:40,-80.0129858548839,-80.0993812696229,-83.59301238753821
00:45,-80.4630603016499,-80.23616414878438,-83.73767322246543
00:50,-80.55600872895641,-80.27422564211223,-84.15500162900014
00:55,-79.82816483110877,-79.95245139600296,-84.40502902445041
01:00,-80.16316147701335,-79.96091106092153,-84.19094213663499
01:05,-80.53118884747028,-80.23913297052577,-84.02136772068602
01:10,-80.68007977867582,-80.21888387162423,-83.95049748449841
01:15,-80.00526899873276,-80.00538709910691,-83.75763075229594
01:20,-79.92178212692907,-79.96966866854598,-83.65823505963832
01:25,-80.47165801201977,-80.1152220777104,-83.90116060139943
01:30,-80.61235145278924,-80.25143159962012,-84.35643069646382
01:35,-80.08508545463305,-80.07767517144475,-84.29211723363358
01:40,-79.89425020943472,-79.96029684030465,-84.19006297961643
01:45,-80.18996679926087,-80.13397590785168,-84.03135332066809
01:50,-80.69868362344151,-80.23551379918085,-83.85005569857098
01:55,-80.56790495038715,-80.26038742219316,-83.68918323011941
02:00,-80.03055619713108,-79.90534364774761,-83.6537715826878
02:05,-80.14400834319784,-79.99515605641508,-84.0586074047898
02:10,-80.36755299660852,-80.08999945366271,-84.35935724304454
02:15,-80.68152310741024,-80.27350114862685,-84.21222335428398
02:20,-80.47201468537794,-80.0442220889715,-84.09159771769194
02:25,-79.87778107227815,-80.00666805066874,-83.95130213783362
02:30,-80.15418941705371,-80.02200615729234,-83.76136431796591
02:35,-80.68704635016952,-80.18988192799556,-83.60484720279611
02:40,-80.51329954812947,-80.22040450473695,-83.82846882595791
